9346QDV,Isuzu,Trooper,1992,9115
1333YYO,Mitsubishi,Fiero,2005,4715
4283ALJ,GMC,Yukon XL 2500,2006,4018
9027COR,Infiniti,M,2003,918
7675BPJ,Kia,Rio,2010,1992
0335DII,Pontiac,Sunbird,1984,2710
1068FGH,Infiniti,G,1992,5250
1875XWI,Infiniti,M,2007,1030
4858QHX,Pontiac,Fiero,1988,5938
4076XCH,Toyota,Avalon,2011,4809
9391RKA,GMC,Yukon XL 1500,2002,7678
6219EIJ,Pontiac,Montana,2005,3437
2584EMG,Oldsmobile,Toronado,1966,1263
6501ZSQ,BMW,3 Series,2003,6437
2634MCX,Chevrolet,Corvette,1956,3602
8350FDL,Ford,Freestar,2004,9982
4850OCB,Chrysler,Cirrus,1998,7105
2073OPV,Subaru,Forester,2007,4213
4436PTJ,Bentley,Continental GTC,2011,1341
4644ZPX,Ford,Crown Victoria,2002,8380
6761DTG,Toyota,Prius Plug-in Hybrid,2012,2566
0993BKL,Mercury,Mountaineer,2000,7321
6634OBY,Dodge,Grand Caravan,2011,1850
4296TAE,Ford,Econoline E350,1993,9169
3883ZKV,Hyundai,Santa Fe,2009,2542
6787PWB,Mercedes-Benz,600SEL,1992,6731
1947IOY,Mercedes-Benz,SL-Class,1992,4364
1483OSB,Honda,Insight,2010,9787
1576YOT,Oldsmobile,Achieva,1997,5885
9196GRD,Dodge,Avenger,1996,3557
5316XOH,BMW,8 Series,1997,1154
4090WRY,Jeep,Commander,2007,3701
4084CVL,Mazda,Protege,1999,8968
7651DII,Volkswagen,Rabbit,2006,518
4033RCO,Ford,Excursion,2004,7239
5154OWX,Pontiac,Montana SV6,2005,9112
2802QTI,Nissan,Sentra,2000,2460
2863OYX,Dodge,Ramcharger,1993,999
4034PXN,Ford,Mustang,1986,7432
3918VNX,Honda,Accord,1993,7782
7362BYH,Honda,Accord,1999,7625
9807MSH,Infiniti,Q,2004,7476
6159GMS,Hyundai,Entourage,2009,6292
7664NBJ,Chrysler,Cirrus,1997,4003
0185KBK,Buick,Century,1993,1380
6259PYD,Toyota,MR2,2005,4356
7590YAZ,Ford,Excursion,2000,6752
0626EER,Hyundai,Tiburon,2007,7061
2258CNN,GMC,Sierra 3500,2010,2745
6085WYD,Pontiac,Bonneville,1964,8675
6794SVU,GMC,Sierra Denali,2006,3232
8253KIE,Infiniti,G,2000,9595
8517FAS,Mazda,Mazda6,2004,7451
9064ERK,Maserati,Quattroporte,2011,9580
5162SQD,Chrysler,Sebring,2009,9966
7071ENI,Dodge,Ram Van 2500,1996,912
6365UPS,Dodge,Dakota Club,1993,7120
2762QDN,Porsche,Cayman,2010,2706
2783PWG,Isuzu,Axiom,2004,7422
3410ZNE,Ford,Thunderbird,1990,792
9646PTI,Mitsubishi,Galant,1992,6776
5587ZWI,Maserati,Quattroporte,1984,8874
0333NMW,Saturn,L-Series,2000,5267
5617QLG,Mercedes-Benz,M-Class,2000,8131
3748HUR,Mazda,Millenia,2001,5091
4042PFW,Mercury,Villager,1995,3250
8337TLC,Volvo,S960,1993,4815
5300VXR,Lexus,RX,2006,3866
8357LDJ,Volkswagen,Eurovan,1994,8739
4503MHB,Lamborghini,Gallardo,2004,3485
4923NRU,Pontiac,Bonneville,1998,1570
3872PXJ,Pontiac,Vibe,2004,8086
0561VNU,Volkswagen,Jetta,1989,668
3012UPU,Ford,Club Wagon,1995,2729
9813GIL,GMC,Savana 3500,2008,6586
5629MMP,Mercedes-Benz,SLK-Class,2009,5821
3876RFK,Daihatsu,Charade,1992,5702
5610PRC,Ford,F350,2007,7095
0983QRT,Honda,Civic,1998,9720
6950XSU,Cadillac,DeVille,2000,2488
8748FKP,Chevrolet,Malibu,1998,8358
4954SIJ,Porsche,Boxster,2006,6852
8653VDN,Volvo,XC60,2012,5959
1032WKU,Ford,Expedition,1997,3498
0383NMG,Mitsubishi,Outlander,2012,916
6050YJP,Audi,RS 4,2007,6930
7472LLR,BMW,S650,2006,4635
8654QUL,Chevrolet,Suburban 2500,1996,5703
8406ZGT,Ford,Escort,1990,2717
0642LSX,Ford,Explorer,2006,3337
7301CDL,BMW,X5,2008,7418
6614VJB,Infiniti,QX56,2011,6934
6788GYB,Volvo,S80,2001,1459
7319UFO,Saab,S900,1998,6813
7280UQY,Smart,Fortwo,2010,2478
3806SAZ,Honda,Accord,2009,3983
6694ZJQ,Honda,Accord,2004,7745
6065YYW,Toyota,Camry,2000,6486
4818XXV,Subaru,Legacy,1992,6810
3621HRX,Kia,Rio,2008,9322
5086ZWF,Dodge,Dakota Club,1997,9703
5477GTA,Jaguar,XJ Series,2000,8812
4229CRR,Plymouth,Breeze,1999,7132
4725UNO,Mercedes-Benz,CL-Class,2011,8698
5016KCT,Nissan,Maxima,2003,9301
0718LVN,Audi,S6,2003,3731
0669ASK,Acura,RL,1999,4084
7549OIN,Lamborghini,Murciélago,2006,8089
5280MUS,Audi,100,1989,5134
0035IDN,Saturn,S-Series,1997,4523
0092IAR,Ford,Freestar,2006,8091
8620IBU,Isuzu,Amigo,1999,6516
9774DED,Acura,RL,2005,6859
1633SQY,Ford,F150,1994,2540
2037KGE,Mazda,B-Series,1999,1098
8069LCX,Acura,RDX,2010,9150
6159YPX,Audi,90,1990,4060
0854GYF,Pontiac,Vibe,2005,3809
5977GRY,Lexus,SC,2010,5730
4669RAY,Dodge,Avenger,2000,686
2459STO,Mazda,B-Series Plus,1997,7708
4048HWD,Lamborghini,Murciélago,2007,8249
3234IIM,Jeep,Grand Cherokee,1993,5187
7447MNQ,Oldsmobile,Cutlass Cruiser,1993,3349
9841FRD,Mazda,Protege,1998,3550
9409THQ,Chrysler,Aspen,2009,9511
8731FYE,Toyota,Supra,1994,1031
5576QSS,Lamborghini,Countach,1987,4549
4966RHD,Cadillac,Eldorado,1998,7547
2180RCN,Kia,Sedona,2005,6520
8602AEC,Maserati,Karif,1990,4897
0911PGD,Spyker,C8 Spyder Wide Body,2004,4880
2936GEC,Infiniti,G,2005,4558
3915FCJ,GMC,Vandura G3500,1995,9323
7780NMF,Volvo,850,1995,8165
0300CLT,Nissan,Frontier,2010,1992
5698MDH,Mitsubishi,Excel,1987,4585
1085XOV,Buick,Regal,2000,5009
9827BYJ,Mazda,Familia,1987,1915
5467ZJJ,Mercedes-Benz,SLK-Class,2010,1157
4372UBB,Hummer,H1,1995,7153
3402KKE,Chevrolet,Silverado 1500,2009,622
3144QRW,Infiniti,Q,1999,1894
9863IPN,Chevrolet,Avalanche 1500,2004,6896
1244CKH,Buick,Roadmaster,1993,1823
3780LSP,Chevrolet,Corvette,1960,6378
7618JFK,Subaru,Brat,1984,1365
5566VYF,Ford,E150,2007,6368
7842PKD,Pontiac,Grand Prix,1977,7159
7161IZW,Audi,100,1989,2180
1733ILY,Dodge,Neon,2000,7799
3771PEM,Toyota,Sienna,2002,6667
3705EJT,Nissan,Maxima,2011,6705
9312NPZ,BMW,X6,2010,6070
9329PAK,Mitsubishi,Mirage,1995,4691
5323CHP,Saab,9-2X,2006,889
7080LEU,Pontiac,Grand Prix,1977,9447
5824IMN,GMC,Yukon XL 1500,2004,7211
1815RYF,Nissan,Murano,2006,1828
7389TON,Subaru,Legacy,2011,2564
8782AWC,Jaguar,XK Series,2013,7913
5715HDI,Volkswagen,rio,1995,8624
2106QIN,Buick,Regal,2001,9214
6385MFI,Mercedes-Benz,CLS-Class,2012,7725
2914FCN,Ford,Taurus,1997,6957
5945INU,Chevrolet,Tahoe,2011,8720
5907OER,Suzuki,Grand Vitara,2011,1983
9173UVQ,Isuzu,Stylus,1993,9025
2463LYF,Porsche,Boxster,2003,1384
2763VQM,Dodge,Dakota,2004,8629
1036WGS,Lexus,IS,2007,8079
7636QCR,Ford,F350,1994,1489
9138GDR,Chevrolet,G-Series G30,1995,9153
2120RIA,BMW,X5,2009,4838
6527TYB,Honda,Element,2004,7531
8747WKR,Oldsmobile,98,1996,7967
3728KST,Mazda,929,1993,5191
6334UKT,Aston Martin,Vantage,2006,849
2674ZYF,Ford,Bronco,1990,3892
6169SNY,Jaguar,XK,2007,8481
9300BCW,Isuzu,VehiCROSS,1999,9621
3279NEW,Porsche,928,1993,4899
2700XMI,Plymouth,Reliant,1981,5010
9310BER,Hummer,H1,1993,9877
5037JXX,Nissan,Armada,2006,8623
4532TJS,Chevrolet,TrailBlazer,2004,8051
6156WPB,Ford,Explorer,2000,2264
3682THZ,Nissan,Pathfinder,1997,786
3191HAF,Maybach,62,2012,7998
2219BSO,Cadillac,DeVille,1994,2209
1199VQW,Mercedes-Benz,SLS AMG,2011,2066
3218IWT,Lexus,RX,2001,536
1473BZE,Geo,Tracker,1997,4101
7239NHX,Acura,ZDX,2011,3411
7910AUB,Honda,Element,2007,9489
5137ENN,Dodge,Dakota,1997,1553
6583JDJ,Dodge,Grand Caravan,2003,7504
3769PXA,Pontiac,Grand Prix,1979,9510
6313XWQ,Ford,F-Series Super Duty,2008,944
2113WBT,Saab,9-5,2004,4191
6531FTQ,Mazda,RX-8,2010,9586
7819CVG,Chrysler,200,2012,18571
4386MJO,Mitsubishi,Mighty Max Macro,1994,10664
9076PRU,Fairthorpe,Rockette,1960,16003
6050KYD,Jeep,Grand Cherokee,2009,11584
0378TIY,Chevrolet,Lumina,2001,9734
4479HGI,Audi,Allroad,2001,1601
1026TAE,Nissan,Murano,2012,5348
9359WBS,Audi,A4,2010,1777
1419SLP,Kia,Spectra,2000,2343
6630RBW,Acura,TL,2010,4342
2329AVS,Lincoln,Continental Mark VII,1989,15077
5802ILR,BMW,745,2002,19769
6538XKB,Chevrolet,Astro,2005,12376
8059URC,Pontiac,Daewoo Kalos,2005,10371
7848CIA,Audi,Allroad,2005,11257
4229GOK,BMW,7 Series,2002,2671
9334IUM,Aston Martin,DB9,2010,1897
9555QTP,Chevrolet,S10,2000,3459
3110AFP,Volkswagen,GTI,2012,1212
1843KSX,Volkswagen,Touareg,2010,18637
9992JTI,Maybach,57,2006,9475
3758KEG,Mazda,B2600,1987,5916
9421MJU,Oldsmobile,Achieva,1993,9401
6169OBR,Maserati,430,1990,9870
2999FTM,Ford,F150,1984,15379
5574KFE,Dodge,Avenger,1997,11129
4607NKA,GMC,Sierra Hybrid,2006,1952
8215WPS,Toyota,Avalon,2006,11678
4076WXA,Nissan,350Z,2009,4610
7220KLM,Maybach,57S,2005,5585
9257REC,Mercedes-Benz,C-Class,2002,12581
8902DXP,Oldsmobile,Aurora,2003,18627
7833ERF,Lincoln,Town Car,2006,17468
0350ZVA,Plymouth,Prowler,2000,18747
6008MKR,Ferrari,California,2009,18819
6259DMB,Isuzu,i-Series,2007,3780
8092LRT,Dodge,Ram Van B150,1992,13451
1788MNG,Dodge,D150,1993,8531
6251TEN,Chevrolet,Express,2009,11612
8676OHB,Isuzu,Rodeo,1997,19206
8476TCQ,Toyota,Yaris,2010,19372
8675MHQ,Isuzu,Trooper,2002,2368
5261AMT,Lexus,ES,2007,16887
3916EWF,Lincoln,Continental,1994,18814
2632YDN,Hyundai,Sonata,2002,3848
3103PSO,Chrysler,LHS,1999,8202
1616GPV,Nissan,Pathfinder,2007,8633
7487DYI,Dodge,Sprinter,2009,7171
9748KVI,Mazda,MX-5,2001,1150
1867QPV,Saturn,Aura,2007,8425
8532ALO,Mercedes-Benz,R-Class,2008,13327
5435LUM,Ford,Crown Victoria,2001,5511
2008PME,Chevrolet,Tracker,2004,15159
7268ZCB,BMW,X3,2010,2180
8595FOW,Mitsubishi,Raider,2008,14000
0367OIE,Porsche,Boxster,2009,3446
2085FXE,Aptera,Typ-1,2009,1845
0501XYQ,Ford,Econoline E150,1992,8352
6847ITN,Volkswagen,Tiguan,2009,12015
6215WYK,Cadillac,SRX,2004,12836
5753LZJ,Plymouth,Breeze,1998,1114
5484WTP,Toyota,Sienna,2002,16224
2637AFT,Acura,NSX,1997,15299
7064PEF,BMW,X5,2012,15137
5507ZNV,Pontiac,Gemini,1989,6329
1217BLJ,Acura,CL,2002,8929
7648UKX,Honda,Accord,2002,18275
3861DTF,Lexus,SC,2003,7718
6328FUE,Dodge,Challenger,2012,12315
1872ABT,Chevrolet,S10,1998,14292
5935VIW,Plymouth,Acclaim,1993,9668
2900QKJ,Chevrolet,Corvette,1985,1710
5141KLD,Nissan,Murano,2007,3777
1077DMF,Acura,CL,2003,7508
6014NKX,Cadillac,Fleetwood,1993,11216
0006PWM,Hummer,H3T,2009,1720
4406XZL,GMC,Yukon Denali,2006,9460
4621BJE,Suzuki,XL-7,2007,12922
5373RHQ,Honda,Fit,2009,14985
7608EKF,Mercury,Mariner,2011,12076
6382HVJ,GMC,Sierra 3500,2006,10000
5903FSY,Lincoln,Navigator,2000,7229
4756NWC,Ford,Edge,2012,8849
3104MUX,Pontiac,1000,1986,14476
8469HIB,Ford,Probe,1996,3389
0659EVT,Ford,GT500,2007,11106
6425YEU,Ford,Escort,1998,2351
3713CXH,Mercedes-Benz,CLK-Class,1998,18642
4098OUR,Hyundai,Equus,2012,13451
0486AKP,Chevrolet,Blazer,1999,3600
3951IGZ,Bugatti,Veyron,2009,14887
7614XPQ,Plymouth,Laser,1993,3199
6871QKX,Ford,Mustang,1980,12528
0121DNC,Acura,SLX,1998,7448
7788YDZ,Mercury,Villager,1996,1922
6816XYW,Chevrolet,Malibu,2000,15138
8083UXT,BMW,7 Series,1995,5885
1200IFY,GMC,Vandura 2500,1993,19488
1414QMG,Pontiac,Grand Am,1990,14362
1259LZH,Chevrolet,Corvette,1999,16999
5536HDX,BMW,3 Series,1993,16950
4005WLX,Ford,Escort,1986,10535
9907TCB,BMW,M6,2006,12920
2553UQC,Mitsubishi,Lancer,2009,10070
6337VXY,BMW,X5 M,2010,8698
5820BTZ,Chrysler,300M,2003,16547
6986BHV,Ford,Expedition,2011,1213
4005ANU,BMW,3 Series,2005,5440
9095ULX,Land Rover,LR3,2006,17287
3016FXC,Suzuki,Swift,1993,4827
6453ULF,Aston Martin,DBS,2008,10066
6162FXZ,Mercury,Capri,1985,3332
1320TBZ,Porsche,Boxster,1998,15479
2032NYI,Dodge,D150 Club,1992,4460
0141GSW,Mercury,Topaz,1987,3940
6281TRC,Pontiac,GTO,2006,8892
3977RGS,Audi,V8,1992,7454
2017MTP,Geo,Prizm,1996,10609
4140CFW,Ford,Escape,2000,6696
5208CLI,Pontiac,Vibe,2006,1660
9383EPX,Dodge,Grand Caravan,1994,8556
6172EQN,Chevrolet,K5 Blazer,1995,8203
4625AYG,Dodge,Ram Van 1500,1999,4593
0888GRO,Suzuki,Verona,2004,5260
5289MYK,Ford,LTD Crown Victoria,1991,9773
0657CKN,BMW,Z8,2000,8458
1188GOV,Dodge,Ram Wagon B250,1992,16713
8172YKP,Toyota,Sienna,2004,4417
3431UJN,Ford,Ranger,2011,14555
3827URT,Dodge,Dakota Club,2002,16531
6562SDN,Mercury,Tracer,1994,5977
1967HCN,Pontiac,Sunbird,1991,18079
1981EZC,Toyota,RAV4,2009,18203
8659YOE,Honda,Civic,1989,10478
8666LDI,Mercury,Tracer,1998,3924
2853JDA,Chevrolet,Corvette,1972,16175
2264CEX,Chevrolet,Sportvan G30,1995,7103
0009VUQ,Mercedes-Benz,GL-Class,2012,5307
2652QUF,Kia,Sportage,1997,12812
6962ONB,Hummer,H3,2007,11266
3154TSZ,Mazda,MX-5,2003,3000
0038XSJ,Buick,Somerset,1987,3280
6062HSD,Chrysler,Sebring,2009,11027
3395OGU,GMC,3500,1999,12123
8894TQC,Subaru,Legacy,2012,13476
7656PNW,Chevrolet,TrailBlazer,2009,10027
5877HUO,Mercedes-Benz,SLR McLaren,2006,14081
2311KVO,Lincoln,Town Car,1988,8859
6325PDS,Buick,Electra,1985,15305
